Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Bogor,2.620.918,94.339,124.092,218.431,2.839.349,9231,237.452,1.073.001,240.656,1.551.109,4.390.458,6467
Sukabumi,1.419.042,44.459,66.053,110.512,1.529.554,9277,120.525,454.844,88.383,663.752,2.193.306,6974
Cianjur,1.277.106,41.42,42.616,84.036,1.361.142,9383,109.369,412.371,93.207,614.947,1.976.089,6888
Bandung,1.801.575,49.347,79.51,128.857,1.930.432,9332,210.9,571.57,168.451,950.921,2.881.353,6700
Garut,1.305.762,57.055,34.38,91.435,1.397.197,9346,149.51,395.136,104.267,648.913,2.046.110,6829
Tasikmalaya,1.003.111,22.508 (a),15.876 (a),38.384 (a),1.041.495,9631,106.586,276.203,80.213,463.002,1.504.497,6923
Ciamis,639.021,11.205 (a),15.958 (a),27.163,666.184,9592,66.327,225.938,48.602,340.867,1/7/51,6615
Kuningan,608.78,30.958,19.061 (a),50.019,658.799,9241,63.182,196.868,31.277,291.327,950.126,6934
Cirebon,1.196.672,58.579,23.552,82.131,1.278.803,9358,120.305,385.337,61.534,567.176,1.845.979,6928
Majalengka,749.551,12.049 (a),16.108 (a),28.157,777.708,9638,74.465,187.601,32.132,294.198,1.071.906,7255
Sumedang,578.679,22.526,14.915 (a),37.441,616.12,9392,69.554,217.912,38.899,326.365,942.485,6537
Indramayu,919.271,24.777,38.846,63.623,982.894,9353,83.007,378.089,66.624,527.72,1.510.614,6507
Subang,848.572,15.016,46.943,61.959,910.531,9320,70.721,290.597,49.477,410.795,1.321.326,6891
Purwakarta,493.598,20.32,19.949,40.269,533.867,9246,52.759,189.217,30.02,271.996,805.863,6625
Karawang,1.193.026,40.448,63.153,103.601,1.296.627,9201,102.406,491.408,100.255,694.069,1.990.696,6513
Bekasi,1.485.854,52.066,90.94,143.006,1.628.860,9122,199.937,628.252,75.005,903.194,2.532.054,6433
Bandung Barat,961.864,33.045 (a),34.882 (a),67.927 (a),1.029.791,9340,102.26,290.512,36.762 (a),429.534,1.459.325,7057
Pangandaran,269.579,3.104 (a),NA,5.262 (a),274.841,9809,18.532,44.226,9.748,72.506,347.347,7913
Kota Bogor,507.501,31.48,12.377,43.857,551.358,9205,68.35,191.66,34.478,294.488,845.846,6518
Kota Sukabumi,170.905,7.974,7.267,15.241,186.146,9181,19.019,61.09,16.948,97.057,283.203,6573
Kota Bandung,1.275.730,54.401,44.905,99.306,1.375.036,9278,158.49,416.168,68.483,643.141,2.018.177,6813
Kota Cirebon,174.003,7.764,4.155,11.919,185.922,9359,19.723,52.883,10.857,83.463,269.385,6902
Kota Bekasi,1.251.362,36.651,62.312,98.963,1.350.325,9267,184.777,433.265,138.229,756.271,2.106.596,6410
Kota Depok,993.732,28.13,41.159,69.289,1.063.021,9348,159.643,422.991,68.837,651.471,1.714.492,6200
Kota Cimahi,291.297,15.583,12.359,27.942,319.239,9125,40.284,106.459,10.053,156.796,476.035,6706
Kota Tasikmalaya,360.981,8.326 (a),16.493,24.819,385.8,9357,47.462,113.909,34.669,196.04,581.84,6631
Kota Banjar,109.36,3.533,2.540 (a),6.073,115.433,9474,11.15,34.031,4.612,49.793,165.226,6986
Jawa Barat,24.506.852,827.063,952.559,1.779.622,26.286.474,9323,2.666.695,8.541.538,1.742.678,12.950.911,39.237.385,6699
