Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Cilacap,991.957,47.169 (a),32.144,79.313,1.071.270,9260,123.313 (a),342.646,69.502,535.461,1.606.731,6667
Banyumas,959.995,44.862 (a),19.211 (a),64.073,1/24/68,9374,109.179,253.56,78.794,441.533,1.465.601,6987
Purbalingga,583.237,17.854,NA,29.581,612.818,9517,36.942,126.576,36.99,200.508,813.326,7535
Banjarnegara,582.693,17.708,15.476 (a),33.184,615.877,9461,50.737,130.398,36.174,217.309,833.186,7392
Kebumen,811.249,25.726 (a),16.560 (a),42.286,853.535,9505,72.09,163.088,31.855,267.033,1.120.568,7617
Purworejo,462.57,7.831 (a),10.065 (a),17.896,480.466,9628,42.556,99.712,18.044,160.312,640.778,7498
Wonosobo,526.901,11.067,10.836 (a),21.903,548.804,9601,40.373,104.138,31.273,175.784,724.588,7574
Magelang,806.141,19.374,10.074 (a),29.448,835.589,9648,73.236,124.71,36.032,233.978,1.069.567,7812
Boyolali,651.325,9.447,10.477 (a),19.924,671.249,9703,55.466,121.595,21.719,198.78,870.029,7715
Klaten,759.27,23.032,7.592,30.624,789.894,9612,82.381,141.883,30.083,254.347,1.044.241,7564
Sukoharjo,507.385,14.656,8.275 (a),22.931,530.316,9568,65.426,133.28,28.546,227.252,757.568,7000
Wonogiri,670.532,9.022 (a),5.780 (a),14.802 (a),685.334,9784,46.295,107.523,32.102,185.92,871.254,7866
Karanganyar,554.741,10.735,7.973,18.708,573.449,9674,56.909,109.344,26.818,193.071,766.52,7481
Sragen,582.669,13.666 (a),7.423 (a),21.089,603.758,9651,55.694,115.883,30.874,202.451,806.209,7489
Grobogan,890.205,17.79,10.840 (a),28.63,918.835,9688,67.482,151.38,46.626,265.488,1.184.323,7758
Blora,553.71,15.695,5.019 (a),20.714,574.424,9639,43.268,105.287,16.958,165.513,739.937,7763
Rembang,391.924,6.437 (a),5.251 (a),11.688,403.612,9710,29.237,73.643,24.806,127.686,531.298,7597
Pati,819.027,20.911 (a),10.634 (a),31.545,850.572,9629,54.353,152.57,45.937,252.86,1.103.432,7708
Kudus,508.814,11.805 (a),5.195 (a),17,525.814,9677,44.768,103.458,20.419,168.645,694.459,7572
Jepara,688.024,13.743,9.752 (a),23.495,711.519,9670,70.286,146.282,40.059,256.627,968.146,7349
Demak,677.741,21.692 (a),10.808 (a),32.5,710.241,9542,53.883,168.03,40.229,262.142,972.383,7304
Semarang,666.472,18.696,6.374 (a),25.07,691.542,9637,57.592,99.516,17.37,174.478,866.02,7985
Temanggung,493.735,5.976 (a),5.708 (a),11.684,505.419,9769,42.727,81.653,20.069,144.449,649.868,7777
Kendal,617.731,20.063,9.738,29.801,647.532,9540,49.488,121.013,28.941,199.442,846.974,7645
Batang,482.846,18.99,6.806 (a),25.796,508.642,9493,33.017,98.757,13.319,145.093,653.735,7781
Pekalongan,589.947,11.526,8.198 (a),19.724,609.671,9676,51.194,103.446,24.682,179.322,788.993,7727
Pemalang,810.133,35.719,21.637,57.356,867.489,9339,58.635,222.603,56.687,337.925,1.205.414,7197
Tegal,862.126,41.888,29.132 (a),71.02,933.146,9239,69.953,220.983,71.8,362.736,1.295.882,7201
Brebes,1.065.808,64.600 (a),28.981,93.581,1.159.389,9193,82.485,324.23,46.343,453.058,1.612.447,7190
Kota Magelang,65.126,1.079 (a),1.851,2.93,68.056,9569,8.087,21.298,3.103,32.488,100.544,6769
Kota Surakarta,288.008,7.815,5.771,13.586,301.594,9550,35.826,74.635,14.638,125.099,426.693,7068
Kota Salatiga,110.313,2.49,1.713 (a),4.203,114.516,9633,12.781,26.662,7.492,46.935,161.451,7093
Kota Semarang,938.766,34.491,21.737,56.228,994.994,9435,117.861,201.177,56.508,375.546,1.370.540,7260
Kota Pekalongan,179.677,4.927,4.197,9.124,188.801,9517,14.464,38.826,8.501,61.791,250.592,7534
Kota Tegal,144.999,6.675,2.289 (a),8.964,153.963,9418,16.292,45.353,8.182,69.827,223.79,6880
Jawa Tengah,21.295.797,655.157,385.244,1.040.401,22.336.198,9534,1.924.276,4.655.138,1.121.475,7.700.889,30.037.087,7436
