Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Pacitan,386.904,2.045 (a),3.445 (a),5.490 (a),392.394,9860,25.111,48.674,19.307,93.092,485.486,8082
Ponorogo,605.467,14.264,10.01,24.274,629.741,9615,41.991,87.363,28.993,158.347,788.088,7991
Trenggalek,452.598,8.53,9.623,18.153,470.751,9614,30.29,80.776,24.293,135.359,606.11,7767
Tulungagung,648.111,15.184 (a),12.018 (a),27.202,675.313,9597,54.454,132.329,41.68,228.463,903.776,7472
Blitar,738.733,26.16,8.541 (a),34.701,773.434,9551,61.678,151.393,33.557,246.628,1/20/62,7582
Kediri,894.602,23.634,20.553,44.187,938.789,9529,94.433,255.649,59.086,409.168,1.347.957,6965
Malang,1.533.518,44.854,35.932,80.786,1.614.304,9500,128.481,381.424,61.519,571.424,2.185.728,7386
Lumajang,622.064,5.996 (a),13.775 (a),19.771 (a),641.835,9692,53.107,181.168,45.487,279.762,921.597,6964
Jember,1.535.617,31.674 (a),16.979,48.653,1.584.270,9693,141.617,308.402,56.392,506.411,2.090.681,7578
Banyuwangi,995.971,24.601 (a),16.232 (a),40.833,1.036.804,9606,94.923,235.25,39.133,369.306,1.406.110,7374
Bondowoso,479.074,7.540 (a),5.009 (a),12.549,491.623,9745,38.736,91.399,14.401,144.536,636.159,7728
Situbondo,433.717,7.053 (a),6.435,13.488,447.205,9698,27.903,75.941,18.532 (a),122.376,569.581,7851
Probolinggo,696.246,18.682,NA,20.934,717.18,9708,52.467,138.708,26.395,217.57,934.75,7672
Pasuruan,939.649,21.931,19.479 (a),41.41,981.059,9578,76.897,195.055,60,331.952,1.313.011,7472
Sidoarjo,1.140.151,45.369,24.180 (a),69.549,1.209.700,9425,135.017,347.059,48.085,530.161,1.739.861,6953
Mojokerto,653.623,15.14,8.494,23.634,677.257,9651,38.342,173.149 (a),23.456,234.947 (a),912.204,7424
Jombang,757.323,19.475,6.211 (a),25.686,783.009,9672,64.576,203.378,27.002,294.956,1.077.965,7264
Nganjuk,637.949,15.554 (a),9.935 (a),25.489,663.438,9616,60.431,168.319,14.28,243.03,906.468,7319
Madiun,441.821,13.819,NA,14.71,456.531,9678,36.614,103.116,20.947,160.677,617.208,7397
Magetan,401.752,9.778,3.775 (a),13.553,415.305,9674,33.037,90.883,16.756,140.676,555.981,7470
Ngawi,523.834,9.565 (a),NA,12.085,535.919,9774,44.309,111.732,26.578,182.619,718.538,7458
Bojonegoro,810.528,12.814,20.123,32.937,843.465,9610,58.467,147.596,23.442,229.505,1.072.970,7861
Tuban,698.005,14.121 (a),10.733 (a),24.854,722.859,9656,53.867,168.621,46.725,269.213,992.072,7286
Lamongan,797.879,20.665,15.068,35.733,833.612,9571,69.092,171.146,41.044,281.282,1.114.894,7477
Gresik,695.657,30.971,9.269 (a),40.24,735.897,9453,83.857,204.755,57.868,346.48,1.082.377,6799
Bangkalan,568.657,13.162 (a),18.716,31.878,600.535,9469,62.548,157.386,50.616,270.55,871.085,6894
Sampang,588.696,11.194 (a),NA,14.744 (a),603.44,9756,40.987,110.04,24.597,175.624,779.064,7746
Pamekasan,543.357,NA,2.771 (a),7.336 (a),550.693,9867,46.361,70.289,22.319,138.969,689.662,7985
Sumenep,735.757,NA,6.168 (a),12.301 (a),748.058,9836,49.678,101.006,36.385,187.069,935.127,8000
Kota Kediri,161.496,5.106,1.210 (a),6.316,167.812,9624,19.588,39.65,10.495,69.733,237.545,7064
Kota Blitar,89.912,3.196,823 (a),4.019,93.931,9572,7.617,19.204,2.915,29.736,123.667,7595
Kota Malang,459.084,21.29,6.420 (a),27.71,486.794,9431,56.658,120.992,32.46,210.11,696.904,6985
Kota Probolinggo,126.445,3.213 (a),3.342,6.555,133,9507,14.28,38.891,8.147,61.318,194.318,6844
Kota Pasuruan,122.524,5,899 (a),5.899,128.423,9541,10.471,25.633,5.279,41.383,169.806,7563
Kota Mojokerto,72.568,2.107,1.442 (a),3.549,76.117,9534,8.155,21.882,2.552,32.589,108.706,7002
Kota Madiun,112.286,3.643,1.393 (a),5.036,117.322,9571,11.758,30.445,5.179,47.382,164.704,7123
Kota Surabaya,1.561.997,50.046,29.386,79.432,1.641.429,9516,194.34,431.867,57.635,683.842,2.325.271,7059
Kota Batu,137.462,3.235,1.789 (a),5.024,142.486,9647,9.714,19.823,4.904,34.441,176.927,8053
Jawa Timur,23.801.034,591.309,369.391,960.7,24.761.734,9612,2.131.852,5.440.393,1.138.441,8.710.686,33.472.420,7398
