id,title,company,city,lat,lon,min_exp,skills,salary_min
146af4ed-0e75-42fa-bbad-f6bdc1983cb1,ERP Programmer Supervisor,PT Rantai Jaringan Sukses (RJ Steel),,-6.12083,106.76111,1,"Pengembang System Erp, ERP Software, Programmer Erp, System Analyst",0
0ba5d278-95ff-479d-aad1-655fdb248e51,Back-end Developer (Laravel/PHP),PT Inosoft Trans Sistem,,-7.32,112.79694,3,"English Language, MongoDB, Ai-assisted Coding Tools, JavaScript, PHP, GIT, CI/CD, Laravel, Jira, Object-Oriented Programming (OOP), REST API",0
24837791-e9d3-4179-a69c-33eecb94d1bb,Backend Developer (Intermediate/Senior Backend Developer),PT YAKIN BERTUMBUH SEKURITAS,,-7.26417,112.79917,3,"Go / Golang, PostgreSQL, Redis, gRPC, Docker, Kafka",0
43cc9466-fd0b-4fd5-9c4a-58384af18487,Backend Developer (Golang),PT Inosoft Trans Sistem,,-7.32,112.79694,3,"PostgreSQL, Go / Golang, Restful API, Microsservices",0
5f55cbd6-fc03-4cbe-86a9-6096cfeaa574,Programmer,PT. Tirta Gracia Utama,,-6.24444,106.8,1,"PostgreSQL, Flutter, MongoDB, Laravel, Node.js, C++, Microsoft SQL Server, PHP, MySQL, C#, Python, Java",0
1d1a90de-480a-4f19-8f8e-4caf0a02189f,DevOps Engineer,PT Evolusi Teknologi Solusi (Evoteks),,-6.19444,106.83333,3,"Docker, Kubernetes, CI/CD, DevOps, Jenkins",0
120a7c45-9a4e-43c1-b68d-005aed48f163,Programmer PHP (Project Based),GITS Indonesia,,-6.21944,106.82917,1,"Restful API, MySQL, PHP, Model-View-Controller (MVC), Laravel",0
738d6285-9316-4307-a804-a92d5d60eb0d,Programmer ASP.NET (Project Based),GITS Indonesia,,-6.21944,106.82917,1,"Model-View-Controller (MVC), Restful API, .NET",0
5a575023-298e-4f80-9c2e-541a493b7f9f,Java Springboot Developer,PT Code Development Indonesia,,-6.21944,106.82917,3,"Java, Springboot, JavaScript",0
d84484f7-c065-4977-a4fa-34b7549bdd42,Penerjemah Bahasa Jepang,PT. Transcosmos Indonesia,Jakarta Selatan,-6.21944,106.82917,1,"Japanese Language, Internal Communications, Project Management",0
74c32760-a855-425d-a26d-dd2891198ee3,Tenaga Pengajar Multimedia,DIGIKIDZ,,-6.24861,106.77778,1,"Python, PyTorch, Machine Learning",0
182d17af-6d44-4e92-84b2-af11e71768cd,Devops,IDE Asia,,-6.21944,106.82917,1,"Docker, GCP, Amazon Web Services (AWS), DevOps, CI/CD, Jenkins, Microsoft Azure",0
0724eb11-ccf1-4e9b-bd28-88b8035dab3d,Infrastructure Engineer,PT Reka Multi Aptika,,-6.18611,106.84583,1,"Cloud Computing, CI/CD, DevOps, Kubernetes, Docker, Linux",0
0c783e51-f108-4a9f-8acf-528042acdddc,Backend Developer (Golang) - Prefer ASAP (WFO Sudirman),PT Sigma Global Teknologi,Jakarta Pusat,-6.21944,106.82917,3,"Go / Golang, Microservices Architecture, API Development",0
4305cac4-b623-47bb-9a76-9adc9eb2ae1e,IT Application Support (Java),PT Avows Technologies,,-6.21944,106.82917,1,"It Application Support , Springboot , MySQL, Fsd , Java, IT Operation",0
9eded249-b769-4803-af23-37e7000ab8a6,Developer RPA (Robotic Process Automation),PT. Noesantara Corporation,Jakarta Pusat,-6.17083,106.81806,1,"Robotic Process Automation (rpa), Process Automation, Robotics",0
d461c3d1-1cd4-47f6-9a11-a5147852e891,Java Developer,Kinnara Digital Studio,,-6.21944,106.82917,3,"Spring Boot, Java, Spring Framework",0
30aa13c4-ab31-4d3e-b227-e1d2105f2293,IT Helpdesk,uptowngift,Jakarta Selatan,-6.29306,106.79583,1,"IT Management, Computer Hardware, Software Installation, Networking",0
1a67183d-e5df-4e55-9cf3-f1c5f25cb565,Backend Developer (Golang),Pt Satkomindo Mediyasa,,-6.25556,106.84306,1,"Microsoft SQL Server, Python, Go / Golang, MongoDB, MySQL, Java, Node.js, PHP, PostgreSQL, Laravel, C++",0
174083b3-b14e-4dda-a8e5-6ac0d7909af3,Presales IT,PT. Kirana Sakti Komputindo,,-6.22917,106.85139,1,"IT Support, Customer Service, Troubleshooting",0
00e7c0b7-78c0-4b39-917b-c996ec8be474,Technical Writer,Pt Satkomindo Mediyasa,,-6.25556,106.84306,1,"Jira, GIT, Agile Project Management, Technical Writing",0
6be8cb34-04c2-4e9e-84f2-6c6caeb4890a,Java Programmer (Banking),PT. Amalura Multi Dimensi,,-6.24444,106.8,5,"Kafka, Java, Microservices Architecture, REST API, Payment System, Transaction Clearing",0
