matched_regency,Provinsi,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,prosperity_status
Administrasi Kepulauan Seribu,DKI Jakarta,15401.0,-5.6350469,106.5803541,1,3.0,6.49308486461918e-05,Zona Merah
Bandung,Jawa Barat,1930432.0,-7.0613423,107.6342883,85,1.388235294117647,4.4031595000497296e-05,Zona Merah
Bandung Barat,Jawa Barat,1029791.0,-6.897754,107.4124294,151,1.2980132450331126,0.00014663169516921395,Lautan Peluang
Bangkalan,Jawa Timur,600535.0,-7.0463602,112.8961792,10,1.0,1.6651818794907873e-05,Zona Merah
Banjarnegara,Jawa Tengah,615877.0,-7.3558733,109.6600728,39,1.2820512820512822,6.332433261836373e-05,Lautan Peluang
Bantul,DI Yogyakarta,614314.0,-7.8982543,110.3855534,140,1.2642857142857142,0.00022789648290613595,Lautan Peluang
Banyumas,Jawa Tengah,1024068.0,-7.4550716,109.1167465,136,1.338235294117647,0.00013280368100555823,Lautan Peluang
Banyuwangi,Jawa Timur,1036804.0,-8.3325711,114.141579,80,1.2375,7.71601961412186e-05,Lautan Peluang
Batang,Jawa Tengah,508642.0,-6.9167,109.7333,19,1.7894736842105263,3.735436711872004e-05,Zona Merah
Bekasi,Jawa Barat,1628860.0,-6.2027897,107.1649161,23,1.2173913043478262,1.412030499858797e-05,Zona Merah
Blitar,Jawa Timur,773434.0,-8.1311983,112.3115572,40,1.175,5.1717405751492694e-05,Zona Merah
Blora,Jawa Tengah,574424.0,-7.110613,111.4204319,20,1.1,3.481748673453755e-05,Zona Merah
Bogor,Jawa Barat,2839349.0,-6.5453875,107.001782,46,1.5434782608695652,1.620089675485472e-05,Zona Merah
Bojonegoro,Jawa Timur,843465.0,-7.2278714,111.81462,32,1.28125,3.793874078948148e-05,Zona Merah
Bondowoso,Jawa Timur,491623.0,-7.9451279,113.882059,8,1.5,1.6272631671016206e-05,Zona Merah
Boyolali,Jawa Tengah,671249.0,-7.3872118,110.7038691,73,1.36986301369863,0.00010875248976162349,Lautan Peluang
Brebes,Jawa Tengah,1159389.0,-7.0520711,108.888136,62,1.5483870967741935,5.347644319551074e-05,Zona Merah
Ciamis,Jawa Barat,666184.0,-7.3131593,108.4048938,9,1.6666666666666667,1.3509781081503008e-05,Zona Merah
Cianjur,Jawa Barat,1361142.0,-7.0539936,107.0692399,38,1.2894736842105263,2.791773378530675e-05,Zona Merah
Cilacap,Jawa Tengah,1071270.0,-7.461671,108.8046146,48,1.1875,4.480663138144445e-05,Zona Merah
Cirebon,Jawa Barat,1278803.0,-6.7611892,108.4564232,19,1.2105263157894737,1.4857644218851535e-05,Zona Merah
Demak,Jawa Tengah,710241.0,-6.9230952,110.6276667,73,1.2054794520547945,0.00010278201342924444,Lautan Peluang
Garut,Jawa Barat,1397197.0,-7.2162774,107.9014912,51,1.3333333333333333,3.650165295230379e-05,Zona Merah
