matched_regency,Provinsi,unemployment_num,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,tpt,prosperity_status,cluster_id,hub_type
Administrasi Kepulauan Seribu,DKI Jakarta,1187.0,15401.0,-5.6350469,106.5803541,2,1.5,0.0016849199663016,7.71,Zona Merah,-1,Isolated zone
Bandung,Jawa Barat,128857.0,1930432.0,-7.0613423,107.6342883,123,1.3739837398373984,0.000954546512801,6.68,Zona Merah,0,Economic Hub
Bandung Barat,Jawa Barat,67927.0,1029791.0,-6.897754,107.4124294,143,1.426573426573427,0.0021052011718462,6.6,Lautan Peluang,0,Economic Hub
Bangkalan,Jawa Timur,31878.0,600535.0,-7.0463602,112.8961792,1,3.0,3.136959658698789e-05,5.31,Zona Merah,0,Economic Hub
Banjarnegara,Jawa Tengah,33184.0,615877.0,-7.3558733,109.6600728,42,1.1428571428571428,0.0012656702025072,5.39,Zona Merah,0,Economic Hub
Bantul,DI Yogyakarta,21911.0,614314.0,-7.8982543,110.3855534,124,1.2903225806451613,0.0056592579069873,3.57,Lautan Peluang,0,Economic Hub
Banyumas,Jawa Tengah,64073.0,1024068.0,-7.4550716,109.1167465,108,1.398148148148148,0.0016855773882914,6.26,Zona Merah,0,Economic Hub
Banyuwangi,Jawa Timur,40833.0,1036804.0,-8.3325711,114.141579,68,1.2794117647058822,0.0016653197168956,3.94,Zona Merah,0,Economic Hub
Batang,Jawa Tengah,25796.0,508642.0,-6.9167,109.7333,74,1.4594594594594594,0.0028686618080322,5.07,Lautan Peluang,0,Economic Hub
Bekasi,Jawa Barat,143006.0,1628860.0,-6.2027897,107.1649161,203,1.3497536945812807,0.0014195208592646,8.78,Zona Merah,1,Economic Hub
Blitar,Jawa Timur,34701.0,773434.0,-8.1311983,112.3115572,32,1.34375,0.0009221636264084,4.49,Zona Merah,0,Economic Hub
Blora,Jawa Tengah,20714.0,574424.0,-7.110613,111.4204319,26,1.3076923076923077,0.0012551897267548,3.61,Zona Merah,0,Economic Hub
Bogor,Jawa Barat,218431.0,2839349.0,-6.5453875,107.001782,206,1.3737864077669903,0.0009430895797757,7.69,Zona Merah,1,Economic Hub
Bojonegoro,Jawa Timur,32937.0,843465.0,-7.2278714,111.81462,56,1.1964285714285714,0.0017002155630446,3.9,Zona Merah,0,Economic Hub
Bondowoso,Jawa Timur,12549.0,491623.0,-7.9451279,113.882059,8,1.0,0.0006375009960953,2.55,Zona Merah,0,Economic Hub
Boyolali,Jawa Tengah,19924.0,671249.0,-7.3872118,110.7038691,70,1.542857142857143,0.0035133507327845,2.97,Lautan Peluang,0,Economic Hub
Brebes,Jawa Tengah,93581.0,1159389.0,-7.0520711,108.888136,66,1.2878787878787878,0.0007052713691881,8.07,Zona Merah,0,Economic Hub
Ciamis,Jawa Barat,27163.0,666184.0,-7.3131593,108.4048938,22,1.181818181818182,0.0008099252659868,4.08,Zona Merah,0,Economic Hub
Cianjur,Jawa Barat,84036.0,1361142.0,-7.0539936,107.0692399,43,1.255813953488372,0.0005116854681327,6.17,Zona Merah,0,Economic Hub
Cilacap,Jawa Tengah,79313.0,1071270.0,-7.461671,108.8046146,56,1.125,0.0007060633187497,7.4,Zona Merah,0,Economic Hub
Cirebon,Jawa Barat,82131.0,1278803.0,-6.7611892,108.4564232,22,1.2272727272727273,0.0002678647526512,6.42,Zona Merah,0,Economic Hub
Demak,Jawa Tengah,32500.0,710241.0,-6.9230952,110.6276667,96,1.28125,0.0029538461538461,4.58,Lautan Peluang,0,Economic Hub
Garut,Jawa Barat,91435.0,1397197.0,-7.2162774,107.9014912,57,1.2456140350877194,0.0006233936676327,6.54,Zona Merah,0,Economic Hub
Gresik,Jawa Timur,40240.0,735897.0,-7.156,112.6511,240,1.3083333333333331,0.0059642147117296,5.47,Lautan Peluang,0,Economic Hub
Grobogan,Jawa Tengah,28630.0,918835.0,-7.0964605,110.8948834,33,1.606060606060606,0.0011526370939573,3.12,Zona Merah,0,Economic Hub
Gunungkidul,DI Yogyakarta,10189.0,473437.0,-7.9930377,110.5579309,8,1.25,0.0007851604671704,2.15,Zona Merah,0,Economic Hub
Indramayu,Jawa Barat,63623.0,982894.0,-6.4418182,108.1764705,43,1.302325581395349,0.0006758562155195,6.47,Zona Merah,1,Economic Hub
Jember,Jawa Timur,48653.0,1584270.0,-8.2633237,113.6278541,95,1.3894736842105264,0.0019526031282757,3.07,Lautan Peluang,0,Economic Hub
Jepara,Jawa Tengah,23495.0,711519.0,-6.5994983,110.7832207,72,1.4305555555555556,0.0030644818046392,3.3,Lautan Peluang,0,Economic Hub
Jombang,Jawa Timur,25686.0,783009.0,-7.561464,112.2413044,77,1.2207792207792207,0.0029977419606011,3.28,Lautan Peluang,0,Economic Hub
Karanganyar,Jawa Tengah,18708.0,573449.0,-7.6196965,111.0698003,81,1.4444444444444444,0.0043296985246953,3.26,Lautan Peluang,0,Economic Hub
Karawang,Jawa Barat,103601.0,1296627.0,-6.2649113,107.4294213,366,1.469945355191257,0.0035327844325826,7.99,Lautan Peluang,1,Economic Hub
Kebumen,Jawa Tengah,42286.0,853535.0,-7.6439744,109.6077921,31,1.1290322580645162,0.0007331031547084,4.95,Zona Merah,0,Economic Hub
Kediri,Jawa Timur,44187.0,938789.0,-7.8026253,112.1686315,4,1.0,9.052436236902255e-05,4.71,Zona Merah,0,Economic Hub
Kendal,Jawa Tengah,29801.0,647532.0,-7.0190965,110.1374757,101,1.306930693069307,0.0033891480151672,4.6,Lautan Peluang,0,Economic Hub
Klaten,Jawa Tengah,30624.0,789894.0,-7.6732387,110.6284785,100,1.34,0.0032654127481713,3.88,Lautan Peluang,0,Economic Hub
Kota Bandung,Jawa Barat,99306.0,1375036.0,-6.9218457,107.6070833,1278,1.3450704225352113,0.0128693130324451,7.22,Lautan Peluang,0,Economic Hub
Kota Banjar,Jawa Barat,6073.0,115433.0,-7.3719,108.5438,0,1.0,0.0,5.26,Zona Merah,-1,Isolated zone
Kota Batu,Jawa Timur,5024.0,142486.0,-7.8711667,112.5269482,33,1.2727272727272727,0.0065684713375796,3.53,Lautan Peluang,0,Economic Hub
Kota Bekasi,Jawa Barat,98963.0,1350325.0,-6.2349858,106.9945444,1347,1.4461766889383816,0.0136111476006184,7.33,Lautan Peluang,1,Economic Hub
Kota Blitar,Jawa Timur,4019.0,93931.0,-8.0982442,112.1650769,1,1.0,0.0002488181139586,4.28,Zona Merah,0,Economic Hub
Kota Bogor,Jawa Barat,43857.0,551358.0,-6.5963564,106.7973188,560,1.4071428571428573,0.0127687712337825,7.95,Lautan Peluang,1,Economic Hub
Kota Cilegon,Banten,15479.0,208807.0,-6.017389,106.0537688,90,1.4555555555555555,0.0058143290910265,7.41,Lautan Peluang,1,Economic Hub
Kota Cimahi,Jawa Barat,27942.0,319239.0,-6.8731527,107.5423099,76,1.263157894736842,0.0027199198339417,8.75,Lautan Peluang,0,Economic Hub
Kota Cirebon,Jawa Barat,11919.0,185922.0,-6.7137044,108.5608483,220,1.2454545454545454,0.0184579243225102,6.41,Lautan Peluang,0,Economic Hub
Kota Depok,Jawa Barat,69289.0,1063021.0,-6.40719,106.8158371,347,1.340057636887608,0.005008009929426,6.52,Lautan Peluang,1,Economic Hub
Kota Jakarta Barat,DKI Jakarta,74910.0,1244249.0,-6.161569,106.7438905,7498,1.5720192051213655,0.1000934454678948,6.02,Lautan Peluang,1,Economic Hub
Kota Jakarta Pusat,DKI Jakarta,33283.0,546914.0,-6.1823399,106.8428715,2127,1.466854724964739,0.0639064988132079,6.09,Lautan Peluang,1,Economic Hub
Kota Jakarta Selatan,DKI Jakarta,58478.0,1148303.0,-6.2838694,106.8048297,3766,1.5212426978226234,0.0644002872875269,5.09,Lautan Peluang,1,Economic Hub
Kota Jakarta Timur,DKI Jakarta,105158.0,1552037.0,-6.2628908,106.8822289,933,1.4866023579849947,0.0088723634911276,6.78,Lautan Peluang,1,Economic Hub
Kota Jakarta Utara,DKI Jakarta,57319.0,951895.0,-6.136197,106.9006902,2514,1.458631662688942,0.0438598021598422,6.02,Lautan Peluang,1,Economic Hub
