City_Name,Latitude,Longitude
Bandung,-6.9218457,107.6070833
Bandung Barat,-6.897754,107.4124294
Bangkalan,-7.0463602,112.8961792
Banjarnegara,-7.3558733,109.6600728
Bantul,-7.8982543,110.3855534
Banyumas,-7.4550716,109.1167465
Banyuwangi,-8.3325711,114.141579
Batang,-7.0323546,109.867953
Bekasi,-6.2349858,106.9945444
Blitar,-8.0982442,112.1650769
Blora,-7.110613,111.4204319
Bogor,-6.5963564,106.7973188
Bojonegoro,-7.2278714,111.81462
Bondowoso,-7.9451279,113.882059
Boyolali,-7.3872118,110.7038691
Brebes,-7.0520711,108.888136
Ciamis,-7.3131593,108.4048938
Cianjur,-7.0539936,107.0692399
Cilacap,-7.461671,108.8046146
Cirebon,-6.7137044,108.5608483
Demak,-6.9230952,110.6276667
Garut,-7.2162774,107.9014912
Gresik,-5.7933465,112.6598223
Grobogan,-7.0964605,110.8948834
Gunung Kidul,-7.9930377,110.5579309
Indramayu,-6.4418182,108.1764705
Jember,-8.1688563,113.7021772
Jepara,-6.5899148,110.6672987
Jombang,-7.561464,112.2413044
Karanganyar,-7.6196965,111.0698003
Karawang,-6.2649114,107.4294213
Kebumen,-7.6439744,109.6077921
Kediri,-7.8111057,112.0046051
Kendal,-7.0190966,110.1374757
Kepulauan Seribu,-5.6350469,106.5803541
Klaten,-7.6732387,110.6284785
Kota Bandung,-6.9218457,107.6070833
Kota Banjar,-7.3695648,108.5415225
Kota Batu,-7.8711667,112.5269482
Kota Bekasi,-6.2349858,106.9945444
Kota Blitar,-8.0982442,112.1650769
Kota Bogor,-6.5963564,106.7973188
Kota Cilegon,-6.017389,106.0537688
Kota Cimahi,-6.8731527,107.5423099
Kota Cirebon,-6.7137044,108.5608483
Kota Depok,-6.40719,106.8158371
Kota Jakarta Barat,-6.161569,106.7438905
Kota Jakarta Pusat,-6.18234,106.8428715
Kota Jakarta Selatan,-6.2838694,106.8048297
Kota Jakarta Timur,-6.2628908,106.8822289
Kota Jakarta Utara,-6.136197,106.9006902
Kota Kediri,-7.8111057,112.0046051
Kota Madiun,-7.6290837,111.5168819
Kota Magelang,-7.4770747,110.2182164
Kota Malang,-7.9771308,112.6340265
Kota Mojokerto,-7.4631537,112.4319852
Kota Pasuruan,-7.6399593,112.9070632
Kota Pekalongan,-6.8905065,109.6761489
Kota Probolinggo,-7.7441461,113.2158401
Kota Salatiga,-7.3302642,110.4995353
Kota Semarang,-6.9903988,110.4229104
Kota Serang,-6.1169662,106.1518079
Kota Sukabumi,-6.9199289,106.9265095
Kota Surabaya,-7.2462836,112.7377674
Kota Surakarta,-7.5692489,110.828448
Kota Tangerang,-6.1761924,106.6382161
Kota Tangerang Selatan,-6.3227016,106.7085737
Kota Tasikmalaya,-7.3262484,108.2201154
Kota Tegal,-6.8674488,109.1378271
Kota Yogyakarta,-7.801349,110.3647351
Kudus,-6.7978494,110.8679109
Kulon Progo,-7.8123076,110.1479828
Kuningan,-6.9869841,108.5538158
Lamongan,-7.1229319,112.3281935
Lebak,-6.6432471,106.1868837
Lumajang,-8.135205,113.2244162
Madiun,-7.6290837,111.5168819
Magelang,-7.4770747,110.2182164
Magetan,-7.6542489,111.3360565
Majalengka,-6.8073627,108.278786
Malang,-7.9771308,112.6340265
Mojokerto,-7.5413377,112.5094975
Nganjuk,-7.6150161,111.9465075
Ngawi,-7.4325315,111.3907058
Pacitan,-8.1017184,111.1446711
Pamekasan,-7.0708133,113.5003939
Pandeglang,-6.5473765,105.7994879
Pangandaran,-7.6407968,108.5567288
Pasuruan,-7.7508114,112.818483
Pati,-6.7534144,111.0399982
Pekalongan,-6.8905065,109.6761489
Pemalang,-7.0110802,109.3914037
Ponorogo,-7.9712266,111.4988929
Probolinggo,-7.7441461,113.2158401
Purbalingga,-7.32733,109.3998987
Purwakarta,-6.5913665,107.4019784
Purworejo,-7.7073021,109.9665117
Rembang,-6.7698635,111.4556709
Sampang,-7.0578157,113.2540541
Semarang,-6.9903988,110.4229104
Serang,-6.1169662,106.1518079
Sidoarjo,-7.4539769,112.6593869
Situbondo,-7.7067843,114.0054142
Sleman,-7.6894175,110.3812904
Sragen,-7.3924563,110.9530232
Subang,-6.4983888,107.7346278
Sukabumi,-7.0764509,106.7346608
Sukoharjo,-7.6814995,110.8700287
Sumedang,-6.8098713,107.9817732
Sumenep,-6.9991798,113.8376708
Tangerang,-6.1761924,106.6382161
Tasikmalaya,-7.3262484,108.2201154
Tegal,-6.8674488,109.1378271
Temanggung,-7.2397576,110.1216648
Trenggalek,-8.1359348,111.6401983
Tuban,-6.9596385,111.8932266
Tulungagung,-8.0729035,111.8996408
Wonogiri,-7.9620507,110.9575733
Wonosobo,-7.3998,109.9209645
