Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja,Provinsi
Pandeglang,569654.0,27337.0,27634.0,54971.0,624625.0,9120.0,74802.0,253116.0,54547.0,382465.0,1007090.0,6202.0,Banten
Lebak,653896.0,24054.0,27424.0,51478.0,705374.0,9270.0,68552.0,245340.0,77274.0,391166.0,1096540.0,6433.0,Banten
Tangerang,1626227.0,35343.0,67372.0,102715.0,1728942.0,9406.0,174922.0,596479.0,108889.0,880290.0,2609232.0,6626.0,Banten
Serang,797489.0,30464.0,45863.0,76327.0,873816.0,9127.0,93925.0,264374.0,62727.0,421026.0,1294842.0,6748.0,Banten
Kota Tangerang,920455.0,26756.0,30765.0,57521.0,977976.0,9412.0,115402.0,327800.0,100320.0,543522.0,1521498.0,6428.0,Banten
Kota Cilegon,193328.0,9490.0,5989.0,15479.0,208807.0,9259.0,31551.0,79814.0,20624.0,131989.0,340796.0,6127.0,Banten
Kota Serang,348280.0,15654.0,10354.0,26008.0,374288.0,9305.0,43394.0,106328.0,29561.0,179283.0,553571.0,6761.0,Banten
Kota Tangerang Selatan,646597.0,6358.0,21499.0,27857.0,674454.0,9587.0,114148.0,255989.0,71664.0,441801.0,1116255.0,6042.0,Banten
Banten,5755926.0,175456.0,236900.0,412356.0,6168282.0,9331.0,716696.0,2129240.0,525606.0,3371542.0,9539824.0,6466.0,Banten
Kulon Progo,276692.0,3538.0,2515.0,6053.0,282745.0,9786.0,24553.0,41914.0,11161.0,77628.0,360373.0,7846.0,DI Yogyakarta
Bantul,592403.0,11493.0,10418.0,21911.0,614314.0,9643.0,62003.0,116697.0,27792.0,206492.0,820806.0,7484.0,DI Yogyakarta
Gunung Kidul,463248.0,7321.0,2868.0,10189.0,473437.0,9785.0,34596.0,81782.0,25077.0,141455.0,614892.0,7700.0,DI Yogyakarta
Sleman,662040.0,20098.0,8019.0,28117.0,690157.0,9593.0,83389.0,147490.0,24880.0,255759.0,945916.0,7296.0,DI Yogyakarta
Kota Yogyakarta,205688.0,7901.0,4572.0,12473.0,218161.0,9428.0,26482.0,52245.0,10251.0,88978.0,307139.0,7103.0,DI Yogyakarta
DI Yogyakarta,2200071.0,50351.0,28392.0,78743.0,2278814.0,9654.0,231023.0,440128.0,99161.0,770312.0,3049126.0,7474.0,DI Yogyakarta
Kepulauan Seribu,14214.0,222.0,965000.0,1187.0,15401.0,9229.0,1561.0,3545.0,890000.0,5996.0,21397.0,7198.0,DKI Jakarta
Kota Jakarta Selatan,1089825.0,33827.0,24651.0,58478.0,1148303.0,9491.0,192242.0,364072.0,73151.0,629465.0,1777768.0,6459.0,DKI Jakarta
Kota Jakarta Timur,1446879.0,50990.0,54168.0,105158.0,1552037.0,9322.0,234315.0,558079.0,80567.0,872961.0,2424998.0,6400.0,DKI Jakarta
Kota Jakarta Pusat,513631.0,18346.0,14937.0,33283.0,546914.0,9391.0,75350.0,175650.0,39935.0,290935.0,837849.0,6528.0,DKI Jakarta
Kota Jakarta Barat,1169339.0,44543.0,30367.0,74910.0,1244249.0,9398.0,182199.0,422417.0,104144.0,708760.0,1953009.0,6371.0,DKI Jakarta
Kota Jakarta Utara,894576.0,33741.0,23578.0,57319.0,951895.0,9398.0,100175.0,312742.0,50790.0,463707.0,1415602.0,6724.0,DKI Jakarta
DKI Jakarta,5128464.0,181669.0,148666.0,330335.0,5458799.0,9395.0,785842.0,1836505.0,349477.0,2971824.0,8430623.0,6475.0,DKI Jakarta
Bogor,2620918.0,94339.0,124092.0,218431.0,2839349.0,9231.0,237452.0,1073001.0,240656.0,1551109.0,4390458.0,6467.0,Jawa Barat
Sukabumi,1419042.0,44459.0,66053.0,110512.0,1529554.0,9277.0,120525.0,454844.0,88383.0,663752.0,2193306.0,6974.0,Jawa Barat
Cianjur,1277106.0,41420.0,42616.0,84036.0,1361142.0,9383.0,109369.0,412371.0,93207.0,614947.0,1976089.0,6888.0,Jawa Barat
Bandung,1801575.0,49347.0,79510.0,128857.0,1930432.0,9332.0,210900.0,571570.0,168451.0,950921.0,2881353.0,6700.0,Jawa Barat
Garut,1305762.0,57055.0,34380.0,91435.0,1397197.0,9346.0,149510.0,395136.0,104267.0,648913.0,2046110.0,6829.0,Jawa Barat
Tasikmalaya,1003111.0,22508.0,15876.0,38384.0,1041495.0,9631.0,106586.0,276203.0,80213.0,463002.0,1504497.0,6923.0,Jawa Barat
Ciamis,639021.0,11205.0,15958.0,27163.0,666184.0,9592.0,66327.0,225938.0,48602.0,340867.0,1007051.0,6615.0,Jawa Barat
Kuningan,608780.0,30958.0,19061.0,50019.0,658799.0,9241.0,63182.0,196868.0,31277.0,291327.0,950126.0,6934.0,Jawa Barat
Cirebon,1196672.0,58579.0,23552.0,82131.0,1278803.0,9358.0,120305.0,385337.0,61534.0,567176.0,1845979.0,6928.0,Jawa Barat
Majalengka,749551.0,12049.0,16108.0,28157.0,777708.0,9638.0,74465.0,187601.0,32132.0,294198.0,1071906.0,7255.0,Jawa Barat
Sumedang,578679.0,22526.0,14915.0,37441.0,616120.0,9392.0,69554.0,217912.0,38899.0,326365.0,942485.0,6537.0,Jawa Barat
Indramayu,919271.0,24777.0,38846.0,63623.0,982894.0,9353.0,83007.0,378089.0,66624.0,527720.0,1510614.0,6507.0,Jawa Barat
Subang,848572.0,15016.0,46943.0,61959.0,910531.0,9320.0,70721.0,290597.0,49477.0,410795.0,1321326.0,6891.0,Jawa Barat
Purwakarta,493598.0,20320.0,19949.0,40269.0,533867.0,9246.0,52759.0,189217.0,30020.0,271996.0,805863.0,6625.0,Jawa Barat
Karawang,1193026.0,40448.0,63153.0,103601.0,1296627.0,9201.0,102406.0,491408.0,100255.0,694069.0,1990696.0,6513.0,Jawa Barat
Bekasi,1485854.0,52066.0,90940.0,143006.0,1628860.0,9122.0,199937.0,628252.0,75005.0,903194.0,2532054.0,6433.0,Jawa Barat
Bandung Barat,961864.0,33045.0,34882.0,67927.0,1029791.0,9340.0,102260.0,290512.0,36762.0,429534.0,1459325.0,7057.0,Jawa Barat
Pangandaran,269579.0,3104.0,0.0,5262.0,274841.0,9809.0,18532.0,44226.0,9748.0,72506.0,347347.0,7913.0,Jawa Barat
Kota Bogor,507501.0,31480.0,12377.0,43857.0,551358.0,9205.0,68350.0,191660.0,34478.0,294488.0,845846.0,6518.0,Jawa Barat
Kota Sukabumi,170905.0,7974.0,7267.0,15241.0,186146.0,9181.0,19019.0,61090.0,16948.0,97057.0,283203.0,6573.0,Jawa Barat
Kota Bandung,1275730.0,54401.0,44905.0,99306.0,1375036.0,9278.0,158490.0,416168.0,68483.0,643141.0,2018177.0,6813.0,Jawa Barat
Kota Cirebon,174003.0,7764.0,4155.0,11919.0,185922.0,9359.0,19723.0,52883.0,10857.0,83463.0,269385.0,6902.0,Jawa Barat
Kota Bekasi,1251362.0,36651.0,62312.0,98963.0,1350325.0,9267.0,184777.0,433265.0,138229.0,756271.0,2106596.0,6410.0,Jawa Barat
Kota Depok,993732.0,28130.0,41159.0,69289.0,1063021.0,9348.0,159643.0,422991.0,68837.0,651471.0,1714492.0,6200.0,Jawa Barat
Kota Cimahi,291297.0,15583.0,12359.0,27942.0,319239.0,9125.0,40284.0,106459.0,10053.0,156796.0,476035.0,6706.0,Jawa Barat
Kota Tasikmalaya,360981.0,8326.0,16493.0,24819.0,385800.0,9357.0,47462.0,113909.0,34669.0,196040.0,581840.0,6631.0,Jawa Barat
Kota Banjar,109360.0,3533.0,2540.0,6073.0,115433.0,9474.0,11150.0,34031.0,4612.0,49793.0,165226.0,6986.0,Jawa Barat
Jawa Barat,24506852.0,827063.0,952559.0,1779622.0,26286474.0,9323.0,2666695.0,8541538.0,1742678.0,12950911.0,39237385.0,6699.0,Jawa Barat
Cilacap,991957.0,47169.0,32144.0,79313.0,1071270.0,9260.0,123313.0,342646.0,69502.0,535461.0,1606731.0,6667.0,Jawa Tengah
Banyumas,959995.0,44862.0,19211.0,64073.0,1024068.0,9374.0,109179.0,253560.0,78794.0,441533.0,1465601.0,6987.0,Jawa Tengah
Purbalingga,583237.0,17854.0,0.0,29581.0,612818.0,9517.0,36942.0,126576.0,36990.0,200508.0,813326.0,7535.0,Jawa Tengah
Banjarnegara,582693.0,17708.0,15476.0,33184.0,615877.0,9461.0,50737.0,130398.0,36174.0,217309.0,833186.0,7392.0,Jawa Tengah
Kebumen,811249.0,25726.0,16560.0,42286.0,853535.0,9505.0,72090.0,163088.0,31855.0,267033.0,1120568.0,7617.0,Jawa Tengah
Purworejo,462570.0,7831.0,10065.0,17896.0,480466.0,9628.0,42556.0,99712.0,18044.0,160312.0,640778.0,7498.0,Jawa Tengah
Wonosobo,526901.0,11067.0,10836.0,21903.0,548804.0,9601.0,40373.0,104138.0,31273.0,175784.0,724588.0,7574.0,Jawa Tengah
